n,rep,alpha,lambda,theta
100,17,2.6024051128939933,2.8345406608675936,2.706296673583999
100,18,2.4711370607450434,2.9141198620731292,2.7895467533332376
100,19,3.030969917888809,3.6505483700414514,3.5835514573905813
100,20,2.69546886283579,3.2967067541239334,3.1775686608141505
100,21,2.4035284267987755,2.895931247229936,2.7366396733097753
100,22,2.03157297020229,2.5431615309285545,2.3591662260858333
100,23,1.896296261957777,2.4992357801149017,2.3225715902368265
100,24,2.4048297967111005,2.932387516661135,2.778833686168749
100,25,2.1363710949255195,2.653637162470365,2.491131251154889
100,26,2.5027095113873474,3.0455126558603993,2.922298166809879
100,27,2.0380187784168435,2.7652747700010827,2.551756486574792
100,28,2.40437437201121,2.936836156507518,2.7937732758018554
100,29,1.9241586896646259,2.6940466947821404,2.5089389946032874
100,30,2.2016580412821427,2.992677993972239,2.8913007654390235
100,31,2.9756383695745154,3.1137699872339177,3.0258364012024255
100,32,1.794226937911856,2.6236443072940814,2.400154861153639
100,33,2.5551790035683544,3.3987032671090325,3.2779185730240314
100,34,3.10435461249868,3.267509632543688,3.1617210657873787
100,35,1.9835248006959358,2.7365792222987966,2.501414410191328
100,36,2.06400105250827,2.7150420642919935,2.5441119423580254
100,37,1.9748152826671528,2.4981531584828764,2.324912369554275
100,38,3.2517298180421625,3.263817419882799,3.190001739209272
100,39,2.508793459846192,3.175361084444195,3.003583609926125
100,40,1.773362641084275,2.550404213990181,2.2898524963575286
100,41,2.329434400439015,3.0442342580059547,2.9000012343053556
100,42,2.2533777812001867,3.0399755195543143,2.8145113125687886
100,43,2.2809012602275778,2.86840004072405,2.6545408079452115
100,44,3.2511323665762553,3.490786741005263,3.428090527424948
100,45,2.067409471265405,2.727604585306873,2.5276018506631233
100,46,2.6823114255877214,3.3555150361238097,3.262366081095364
100,47,3.0544767306337386,3.3044686636460296,3.2071466743069226
100,48,2.1854669477915314,2.704767882028241,2.517728003780344
100,49,2.769624132520504,3.295940835093914,3.1919049508083424
100,50,3.2843452311135906,3.304090445316301,3.2451831585695894
100,51,2.0772063436631294,2.680103191534456,2.4864144473007177
100,52,1.8694872457653522,2.445178722097816,2.259866607262685
100,53,2.9773846003182234,3.169689076612415,3.063989319722701
100,54,2.767395271704286,3.1641859906827365,3.0315621590693373
